guid,note id,ipa phone,ipa phone strict transcription,ipa phoneme symbol,phonation,place of articulation,manner of articulation,examples,classification,notes,pronunciation sound,example sounds,tags
y`!#5U*h5z,1417554080802,ʁ,ʁ̞,r,Voiced&nbsp;,Uvular,Approximant,"b<b><font color=""#ff0000"">r</font></b>uge<br><div><b><font color=""#e60000"">r</font></b>ose</div>",Consonant,"May have slight frication, but is usually pronounced as pure approximant.",[sound:ipa_da_ph_voiced_uvular_approximant.ogg],[sound:ipa_da_ex_brugge.ogg][sound:ipa_da_ex_rose.ogg],ipa_da_consonants
"o:{,R=w%3h",1417554867234,pʰ,,p,Voiceless,Bilabial,Plosive&nbsp;aspirated,"<b><font color=""#e60000"">p</font></b>ol<div><b><font color=""#e60000"">p</font></b>ille</div>",Consonant,,[sound:ipa_da_ph_voiceless_bilabial_plosive-aspirated.ogg],[sound:ipa_da_ex_pol.ogg][sound:ipa_da_ex_pille.ogg],ipa_da_consonants
eV21g+<;S*,1411265285299,b̥,,b p,Voiceless lenis,Plosive,Bilabial,"<b><font color=""#e60000"">b</font></b>og<div><b><font color=""#e60000"">b</font></b>ål</div>",Consonant,,[sound:ipa_da_ph_voiceless-lenis_bilabial_plosive.ogg],[sound:ipa_da_ex_bog.ogg][sound:ipa_da_ex_bål.ogg],ipa_da_consonants
"iWuvKi<G,b",1411465629430,tˢ,,t,Voiceless,Alveolar [Apico-alveolar],Plosive&nbsp;aspirated,"<b><font color=""#e60000"">t</font></b>ak<div><b><font color=""#e60000"">t</font></b>aske</div>",Consonant,,[sound:ipa_da_ph_voiceless_alveolar_plosive-aspirated.ogg],[sound:ipa_da_ex_tak.ogg][sound:ipa_da_ex_taske.ogg],ipa_da_consonants
kO4/=%Dnhx,1411462683590,d̥,,d t,Voiceless lenis,Alveolar [Apico-alveolar],Plosive,"<b><font color=""#e60000"">d</font></b>åb<div><b><font color=""#e60000"">d</font></b>åse</div>",Consonant,,[sound:ipa_da_ph_voiceless-lenis_alveolar_plosive.ogg],[sound:ipa_da_ex_dåb.ogg][sound:ipa_da_ex_dåse.ogg],ipa_da_consonants
lBpaVcxkDG,1413465687727,kʰ,,k,Voiceless,Velar,Plosive aspirated,"<b><font color=""#e60000"">k</font></b>one<div><b><font color=""#e60000"">k</font></b>ål</div>",Consonant,,[sound:ipa_da_ph_voiceless_velar_plosive-aspirated.ogg],[sound:ipa_da_ex_kone.ogg][sound:ipa_da_ex_kål.ogg],ipa_da_consonants
pbAFiH9YP>,1411465689293,ɡ̊,,g k,Voiceless lenis,Velar,Plosive,"<b><font color=""#e60000"">g</font></b>od<div>ha<b><font color=""#e60000"">k</font></b></div>",Consonant,,[sound:ipa_da_ph_voiceless-lenis_velar_plosive.ogg],[sound:ipa_da_ex_god.ogg][sound:ipa_da_ex_hak.ogg],ipa_da_consonants
p9PEOQlC4Y,1411465691352,m,,m,Voiced,Bilabial,Nasal,"<b><font color=""#e60000"">m</font></b>od<div><b><font color=""#e60000"">m</font></b>us</div>",Consonant,,[sound:ipa_da_ph_voiced_bilabial_nasal.ogg],[sound:ipa_da_ex_mod.ogg][sound:ipa_da_ex_mus.ogg],ipa_da_consonants
y<|u7KLcH@,1411465696053,n,,n,Voiced,Alveolar&nbsp;[Apico-alveolar],Nasal,"<b><font color=""#e60000"">n</font></b>ode<div>ha<b><font color=""#e60000"">n</font></b></div>",Consonant,,[sound:ipa_da_ph_voiced_alveolar_nasal.ogg],[sound:ipa_da_ex_node.ogg][sound:ipa_da_ex_han.ogg],ipa_da_consonants
Q@loSm^F|v,1411465704423,ŋ,,n,Voiced,Velar,Nasal,"la<b><font color=""#e60000"">n</font></b>g<div>perro<b><font color=""#e60000"">n</font></b></div>",Consonant,,[sound:ipa_da_ph_voiced_velar_nasal.ogg],[sound:ipa_da_ex_lang.ogg][sound:ipa_da_ex_perron.ogg],ipa_da_consonants
NeK!X_d00J,1411465797343,f,,f,Voiceless,Labiodental,Fricative,"<b><font color=""#e60000"">f</font></b>od<div><b><font color=""#e60000"">f</font></b>isk</div>",Consonant,,[sound:ipa_da_ph_voiceless_labiodental_fricative.ogg],[sound:ipa_da_ex_fod.ogg][sound:ipa_da_ex_fisk.ogg],ipa_da_consonants
pCGPSyEa[B,1411465831743,v,ʋ,v,Voiced,Labiodental,Approximant,"<b><font color=""#e60000"">v</font></b>åd<div>ul<b><font color=""#e60000"">v</font></b></div>",Consonant,"May have slight frication, but is usually pronounced as pure approximant.",[sound:ipa_da_ph_voiced_labiodental_approximant.ogg],[sound:ipa_da_ex_våd.ogg][sound:ipa_da_ex_ulv.ogg],ipa_da_consonants
r4xOW=b8}`,1411465833593,s,,s,Voiceless,Alveolar&nbsp;[Apico-alveolar],Fricative (sibilant),"<b><font color=""#e60000"">s</font></b>od<div>ky<b><font color=""#e60000"">s</font></b></div>",Consonant,,[sound:ipa_da_ph_voiceless_alveolar_sibilant-fricative.ogg],[sound:ipa_da_ex_sod.ogg][sound:ipa_da_ex_kys.ogg],ipa_da_consonants
AbUURa`rpY,1411465650991,j,,j,Voiced,Palatal,Approximant,"<b><font color=""#e60000"">j</font></b>ord<div>bal<b><font color=""#e60000"">j</font></b>e</div>",Consonant,,[sound:ipa_da_ph_voiced_palatal_approximant.ogg],[sound:ipa_da_ex_jord.ogg][sound:ipa_da_ex_balje.ogg],ipa_da_consonants
flylF~gt)y,1421512880083,ɕ,,sj,Voiceless,Alveolo-palatal,Fricative (sibilant),"<b><font color=""#e60000"">sj</font></b>ælland<div>ha<b><font color=""#e60000"">sh</font></b></div>",Consonant,Differs from&nbsp;ʃ because is dorsal and not coronal,[sound:ipa_da_ph_voiceless_alveolo-palatal_sibilant-fricative.ogg],[sound:ipa_da_ex_sjælland.ogg][sound:ipa_da_ex_hash.ogg],ipa_da_consonants
e&Z.o&$wlJ,1421512951640,ð,ð̠˕ˠ or ɹ̻ˠ,ð,Voiced,Alveolar (velarized&nbsp;laminal),Approximant,"<font>no</font><font color=""#e60000"" style=""font-weight: bold;"">d</font>e<div>ma<b><font color=""#e60000"">d</font></b></div>",Consonant,,[sound:ipa_da_ph_voiced_alveolar-laminal-velarized_approximant.ogg],[sound:ipa_da_ex_node.ogg][sound:ipa_da_ex_mad.ogg],ipa_da_consonants
AaxDZ2a$~e,1421513027881,h,,h,Voiceless,Glottal,Fricative,"<b><font color=""#e60000"">h</font></b>at<div><b><font color=""#e60000"">h</font></b>us</div>",Consonant,,[sound:ipa_da_ph_voiceless_glottal_fricative.ogg],[sound:ipa_da_ex_hat.ogg][sound:ipa_da_ex_hus.ogg],ipa_da_consonants
"r^.Xr,j+/m",1421513405308,l,,l,Voiced,Alveolar,Lateral approximant,"<b><font color=""#e60000"">l</font></b>ov<div>ø<b><font color=""#e60000"">l</font></b></div>",Consonant,,[sound:ipa_da_ph_voiced_alveolar_lateral_approximant.ogg],[sound:ipa_da_ex_lov.ogg][sound:ipa_da_ex_øl.ogg],ipa_da_consonants
mKX5(--(-N,1432754565879,"ð (alternative, rare)",ð̠,ð,Voiced,Alveolar,Fricative,"ø<font color=""#e60000""><b>d</b></font>e<div>no<font color=""#ff0000""><b>d</b></font>e</div>",Consonant,It's a different way to pronounce the sound&nbsp;ð which occurs rarely.,[sound:ipa_da_ph_voiced_alveolar_fricative.ogg],[sound:ipa_da_ex_øde_th.ogg][sound:ipa_da_ex_node_th.ogg],ipa_da_consonants
